id,path,start_line,end_line,symbol,needle,git_blob_sha,change,url
S01,Cargo.toml,1,12,workspace.members,members = [,558a8ebf3bd6c8ce3f8d82631d60894ded3507f0,7개 workspace member를 단계별 22개 목표 경계로 재배치; package 이름은 정책 JSON과 일치,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/Cargo.toml#L1-L12
S02,crates/floe-domain/src/lib.rs,1,35,domain public exports,mod data_access_grant;,f2dd2f81c625b6e1e43752fa4766da3ad4e19765,IDs→kernel; data access state→access; dependency values→context-contract; Day entities→day,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-domain/src/lib.rs#L1-L35
S03,crates/floe-agent-contract/src/lib.rs,1,104,AgentFailure / classifications,pub enum AgentFailure,e63baa8117d2bcb9b6bd2381a610f05d740ea1cf,"reason 보존, owner/scope/origin과 transport 및 task outcome 분리",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent-contract/src/lib.rs#L1-L104
S04,crates/floe-agent/src/contract.rs,1,67,AgentSession / AgentSessionScope,pub enum AgentSessionScope,1b74a3c6d8b0ea361f9d9dbca0280733aebc2f4b,Session 영속 모델을 conversation으로; Calendar 세션 scope 제거; generic runtime에는 execution transcript만,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/contract.rs#L1-L67
S05,crates/floe-agent/src/contract.rs,88,212,CapabilityExecution / DelegationExecution / AgentMessage,pub struct DelegationExecution,1b74a3c6d8b0ea361f9d9dbca0280733aebc2f4b,Task 전체의 중복 수정 대신 TaskRef+허용 결과 snapshot; replay와 invocation journal 보존,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/contract.rs#L88-L212
S06,crates/floe-agent/src/a2a.rs,1,225,AgentCard / A2A task and ports,pub trait A2AHost,4b5dc1f8f6eda79d8bb7af29bce78915201be561,value/endpoint port→agent-contract; task business transitions→experts,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/a2a.rs#L1-L225
S07,crates/floe-agent/src/a2a.rs,226,390,InProcessA2ATransport / A2ARouter,stored.cancellation.cancel();,4b5dc1f8f6eda79d8bb7af29bce78915201be561,in-memory authoritative task map 및 부모 clone 취소 제거; TaskRepository+child scope로 대체,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/a2a.rs#L226-L390
S08,crates/floe-agent/src/runtime.rs,1,44,Cancellation / AgentRuntime,pub struct Cancellation,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,취소·예산 기계장치→execution; runtime를 role-neutral하게 변경,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L1-L44
S09,crates/floe-agent/src/runtime.rs,1,194,run_turn_with_agents,pub async fn run_turn_with_agents,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,Run admission/terminal 소유권→conversation; model loop는 driver로 남김,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L1-L194
S10,crates/floe-agent/src/runtime.rs,195,440,continue_turn / recover_interrupted,pub async fn recover_interrupted,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,복구 owner·claim generation·continuation authority 재검증; 완료 호출 replay 금지 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L195-L440
S11,crates/floe-agent/src/runtime.rs,405,546,commit / recorded,async fn recorded,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,full-session CAS→owner-defined checkpoint ports; dispatch 전 durable ack 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L405-L546
