id,title,dependencies,source_anchors,target_modules,regression_ids,status
P00,기준 고정·파일 소유권·이행 ledger,,S01 S72 S77 S76,,T37,not_started
P01,기반 공통 값·오류 계약 추출과 도메인 타입 배정,P00,S01 S02 S03 S04 S05 S06 S53,kernel context_contract,T32 T33 T37,not_started
P02,실행 scope·취소·usage·diagnostics 기계장치 분리,P01,S08 S11 S15 S17 S54,execution diagnostics,T07 T08 T22 T29 T38,not_started
P03,Agent loop를 역할 중립 엔진과 owner journal로 분리,P01 P02,S03 S06 S04 S05 S09 S10 S11 S12 S13 S14 S15 S16 S17 S20,agent_contract agent_runtime,T01 T06 T12 T19 T21 T29 T37,not_started
P04,Access 정책·permit·철회 gate 추출,P01 P02,S02 S03 S25 S33 S34 S43 S44 S45 S74,access,T05 T12 T13 T14 T15 T21 T27 T33,not_started
P05,Day entity·Calendar mirror·Task/Note 소유권 분리,P01 P02,S02 S47 S48 S77,day,T23 T25 T28,not_started
P06,Connection·Pairing·OAuth operation 서비스,P01 P02 P04,S35 S37 S39 S57 S64 S65 S66 S67,connections,T09 T10 T22 T23 T24 T25,not_started
P07,Inference routing·attempt ownership·모델/source 분리,P01 P02 P03 P04,S16 S23 S28 S49 S50 S55 S67,inference,T10 T15 T21 T29,not_started
P08,Knowledge·Memory·Playbook·Learner 경계,P01 P02 P04 P07,S26 S39 S46 S75,knowledge,T11 T28 T31,not_started
P09,Context·source views·provenance·history projection,P01 P02 P04 P05 P06 P08,S19 S25 S26 S27 S28 S30 S32 S33 S34 S43 S75,context,T01 T11 T13 T14 T15 T27 T28,not_started
P10,Action 제안·승인·외부 실행 ledger 분리,P01 P02 P04 P05 P06,S73 S30 S39,actions,T13 T19 T21 T23 T30,not_started
P11,Expert Directory·Task owner·등록형 A2A dispatch,P01 P02 P04 P07 P09,S06 S07 S14 S18 S21 S22 S31 S38 S40,experts,T02 T03 T04 T05 T06 T07 T19 T37,not_started
P12,ConversationService·root Run·finalization 단일 소유권,P03 P07 P08 P09 P10 P11,S04 S05 S09 S10 S11 S12 S15 S26 S27 S29 S35 S36 S37 S38 S40,conversation,T01 T08 T09 T11 T16 T17 T18 T19 T20 T21 T22 T28 T29,not_started
P13,Vault 저장 어댑터·owner별 repository·원자성 이관,P04 P05 P06 P07 P08 P09 P10 P11 P12 P14,S30 S42 S43 S44 S45 S46 S48 S73 S74 S75 S77,vault,T13 T16 T17 T18 T19 T20 T21 T22 T28 T30 T31,not_started
P14,Native·model/source/control adapter 분리,P02 P04 P06 P07 P09 P10,S25 S28 S33 S34 S42 S49 S50 S51 S68 S76,native providers,T09 T10 T13 T15 T24 T33 T34 T36 T39,not_started
P15,8개 builtin Expert endpoint 이식 및 Schedule 공통화,P03 P05 P10 P11,S18 S20 S21 S22 S23 S24 S25 S29 S30 S31 S32 S38 S40,builtin,T01 T02 T03 T04 T05 T06 T07 T14 T15 T37 T40,not_started
P16,App composition·v2 Protocol·얇은 FFI host,P12 P13 P14 P15,S01 S35 S36 S37 S38 S39 S40 S41 S51 S52 S53 S78,app protocol ffi,T01 T02 T03 T09 T16 T18 T20 T21 T22 T33 T37,not_started
P17,Flutter typed client·request correlation·native transport,P16,S55 S56 S57 S58 S67 S68 S78,,T09 T16 T18 T19 T26 T32 T33 T34,not_started
P18,앱 범위 읽기 모델·revision reducer·selector,P17,S59 S60 S61 S62 S63,,T17 T23 T25 T26 T27,not_started
P19,Flutter feature 디렉터리 전환·Connect/Agent UI 분리,P17 P18,S55 S59 S60 S61 S62 S63 S64 S65 S66 S67,,T01 T09 T23 T24 T26 T27 T32 T34 T39,not_started
P20,Go console에서 서비스·transport·adapter 추출,P00 P01,S69 S70 S71,,T23 T25 T30 T35 T36,not_started
P21,네이티브 빌드·ABI 로딩·패키지 경로 정합성,P16 P19 P20,S01 S51 S52 S68 S78,,T32 T33 T34 T39,not_started
P22,실제 composition fault-injection 및 LLM 평가 분리,P13 P14 P15 P16 P19 P20,S09 S11 S14 S17 S21 S55 S57 S65,,T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16 T17 T18 T19 T20 T21 T22 T23 T24 T25 T26 T27 T28 T29 T30 T31 T32 T33 T34 T35 T36 T37 T38 T39 T40,not_started
P23,테스트 정리·DAG/Go/Dart 경계 검사·CI,P00 P21 P22,S01 S72 S77,,T04 T13 T19 T30 T31 T33 T36 T37 T38,not_started
P24,구형 경로 완전 제거·현행 문서 통합,P19 P20 P21 P23,S01 S18 S19 S21 S22 S23 S35 S37 S38 S40 S55 S56 S57 S59 S64 S65 S72 S76 S77 S78,,T01 T02 T03 T04 T09 T10 T13 T18 T24 T28 T37,not_started
P25,최종 인수·운영 복구 runbook·완료 보고,P24,S72,,T01 T02 T03 T04 T09 T10 T13 T16 T18 T19 T20 T24 T26 T30 T37 T38 T39 T40,not_started
